id,type,related_planets,house,reading,source_month,source_sign
1,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
2,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
3,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
4,日食,太阳,,这个月在金牛座10度的日全食中结束，这再次给你的第十二宫带来了关注，这个4月30日的新月日食将出现在你的太阳星盘的第十二宫,2022-04,双子座
5,日食,"太阳,天王星",,4月30日日食时，太阳也将与天王星相合，所以你可能突然需要短途旅行去看望某位体弱多病的人，或者你可能需要去见一位正在进行秘密项目的同事，他需要你的意见,2022-04,双子座
6,日食,"金星,木星",,4月30日在金牛座的新月日偏食将使金星处于主导地位，值得注意的是，4月30日金星将与木星相合,2022-04,双子座
7,日食,"金星,木星",,4月30日在金牛座的新月日偏食将使金星处于主导地位，值得注意的是，4月30日金星将与木星相合,2022-04,双子座
8,日食,,,4月30日，在金牛座有一次新月日食，在你代表隐藏的第十二宫，这表明你可能开始一个秘密的项目或关系，你暂时不能向别人透露,2022-04,双子座
9,日食,,,4月30日，在金牛座有一次新月日食，在你代表隐藏的第十二宫，这表明你可能开始一个秘密的项目或关系，你暂时不能向别人透露,2022-04,双子座
10,日食,天王星,,无论发生什么，都将是巨大惊喜，因为这次日食与天王星紧密相连，这是一颗善于出其不意的行星,2022-04,双鱼座
11,日食,金星,,这就是我认为你会喜欢这次日食的原因:金牛座的日食让金星处于主导地位，所以我们要看看她会做什么,2022-04,双鱼座
12,月食,"金星,木星",,无论食相带来什么信息，显然都是对你有利的，可能与金钱有关，因为月食落入的位置，金牛座，有强烈的财务相关暗示，就像木星和金星一样,2022-04,双鱼座
13,日食,,,如果你参加法律案件，4月30日的日食之后，事情应该格外顺利，做出的裁决对你有利，或你的法律事务只是签合同，最终成就了收益颇丰的结盟,2022-04,处女座
14,日食,金星,,我特别喜欢这次日食的原因是，日食由金星领衔，且金星位于其擢升星座双鱼座，帮它发挥最大力量,2022-04,处女座
15,月食,,,记住，所有日月食都有后续，不要急着认定一个日月食的“好坏”，因为这些是活的事件，都会有后续,2022-04,处女座
16,月食,,,记住，所有日月食都有后续，不要急着认定一个日月食的“好坏”，因为这些是活的事件，都会有后续,2022-04,处女座
17,日食,,,还有其他方式收获日食的利好：也许你被心仪的学院录取，更靠近获取大学或研究生学历的目标，之前你还怀疑自己是否有机会被录取呢,2022-04,处女座
18,日食,金星,,4月30日的这个新月日食还有一些其他对你有利的方面，因为它落于金牛座，而金星是金牛座和天秤座的守护星,2022-04,天秤座
19,日食,金星,,4月30日的这个新月日食还有一些其他对你有利的方面，因为它落于金牛座，而金星是金牛座和天秤座的守护星,2022-04,天秤座
20,日食,"金星,木星",,结果会是相当令人欣喜的，因为新月日食在金牛座，指向当前的关键行星金星，在这种情况下，金星会与好运的木星手挽手地呆在你的日常工作项目宫,2022-04,天秤座
21,日食,"金星,木星",,结果会是相当令人欣喜的，因为新月日食在金牛座，指向当前的关键行星金星，在这种情况下，金星会与好运的木星手挽手地呆在你的日常工作项目宫,2022-04,天秤座
22,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
23,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
24,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
25,日食,,,我不知道你们每个人的星盘，所以不能保证都有让人满意的结果，但是一般来说，日食会带来新机遇，这次会突然出现,2022-04,天蝎座
26,日食,,,像4月30日这种日食通常会打开一段新章节，此次的主题是你与恋人可能会对订婚或结婚达成一致,2022-04,天蝎座
27,日食,,,对于一直没有感受到幸福的蝎子来说可能决定结束婚姻，但是我觉得此日食环境是积极乐观的，所以这种可能性不大,2022-04,天蝎座
28,日食,"金星,木星",,4月30日日食这一天，金星和好运木星合相，你会由衷地感叹日食为你敞开的真爱之门，用二人能量的凝聚打开了人生下一个阶段,2022-04,天蝎座
29,日食,"金星,木星",,我认为巨蟹接收到的应该是好消息，因为金牛座（4月30日的日食发生在金牛座）的主宰星是金星，届时金星和木星将在双鱼座28°亲密相合,2022-04,巨蟹座
