id,planet_a,planet_b,aspect_type,reading,is_positive,source_month,source_sign
1,太阳,水星,合相,太阳和冥王星将在此时相合，所以如果你正在寻找贷款人、赞助人或风险资本，你可能会在握手时达成协议，并开始起草法律文件，在下个月签署（在水星——你的守护行星和管理所有通信和合同的行星——2月3日顺行之后）。,TRUE,2022-01,双子座
2,太阳,木星,合相,为什么说3月5日是最幸运日呢？此时木星与太阳相合，这可是一年一遇的事情，但其他时候的合相，木星和太阳都分别在两个星座。,TRUE,2022-01,双鱼座
3,金星,火星,合相,这个时间段与火星摩羯座重合，这是极为突出的星象，众所周知金星与火星是宇宙爱侣，彼此爱慕，但因为运行轨道不同，很少相合。,TRUE,2022-01,处女座
4,太阳,木星,三分相,在5月10日之前，木星都会跟你的本命太阳呈三分相，然后等到10月27日至12月20日会再次呈相。,TRUE,2022-01,天蝎座
5,太阳,天王星,三分相,新月如此热情的原因还有，天王星在金牛座11°，与摩羯座12°的新月和太阳呈完美相位。,TRUE,2022-01,巨蟹座
6,金星,天王星,三分相,1月17日的满月与金星和天王星呈三分相，这是宇宙中最重要的相位，我很喜欢，此时，树上的鸟儿甚至都会为巨蟹所倾倒。,TRUE,2022-01,巨蟹座
7,太阳,天王星,三分相,当天王星向太阳发出了和谐的光芒，也就是占星中所说的三分相的夹角，可能会给你们带来一个所谓非常黄金的职业机会，但是如果目前你是一头单身羊并且渴望爱情的话，那么也可能是有一场突发的会议，让你们有机会找到自己的爱情。,TRUE,2022-01,白羊座
8,金星,火星,合相,下个月的情人节会非常华丽，金星和火星会在2月16日形成精准合相，情人节在2月14日，离16日已经足够近，你完全能够感受这样的能量然后充分享受它。,TRUE,2022-01,金牛座
9,金星,火星,合相,在这一天，金星和火星将在你代表肉体之爱和感情的宫位精确相合，所以你会有很强大的魅力。,TRUE,2022-02,双子座
10,金星,火星,合相,金星火星整月都在一起，虽然精准合相的是在2月16日，但在情人节这天，这两颗星之间的距离也足够近了（0.5°）。,TRUE,2022-02,双鱼座
11,金星,海王星,合相,最后有一个值得铭记的日子，2月24日周四，金星与海王星呈吉相，将你的真爱宫和承诺宫连在一起，应该是你超级浪漫的日子，金光闪闪令你长久难忘。,TRUE,2022-02,处女座
12,太阳,土星,合相,2月4日，土星将精确地与太阳相合，这一天大多数人会对例行公事感到厌倦，而对批评格外敏感。,TRUE,2022-02,天秤座
13,火星,木星,六分相,而2月4日同一天，火星将六合木星，这是一个令人眩目的相位，可能带来一个关于出售、购买或租赁任何你渴望的房产的惊喜机会。,TRUE,2022-02,天秤座
14,金星,火星,合相,金星与火星总是想要在一起——它们是宇宙恋人——当它们手挽手时，它们会带来新恋情的美好与火花。,TRUE,2022-02,天秤座
15,太阳,木星,合相,同时，木星这颗幸福的行星将在范围内慢慢接近太阳（在3月6日与太阳相合），近到足以在2月24日为你洒下一片星尘。,TRUE,2022-02,天秤座
16,太阳,土星,合相,你的第四宫现在非常的闪亮，而且因为土星也跟太阳和新月在一起，所以你准备好了要翻开一个新的篇章。,TRUE,2022-02,天蝎座
17,太阳,月亮,合相,随着木星跟太阳和月亮黏在一起，你会感受到一些压力，你非常清楚自己做出的这些决定对于自己，家庭，以及亲人的影响。,TRUE,2022-02,天蝎座
18,金星,火星,合相,金星和火星正在一起行进，任何时候当他们出现现在这种相位的时候，都会被称为命定的恋人。,TRUE,2022-02,天蝎座
19,木星,天王星,三分相,满月之后紧接着第二天的2月17日就有一个美好的相位，好运之星木星会和意外事件的天王星在宇宙中形成和谐的三分相。,TRUE,2022-02,射手座
20,木星,天王星,合相,木星和天王星精准结合日是2月17日，这是2022年的重大星象，下一次木天相合将会等到2026年7月21日才会再出现（但是2026年的木天合相则位于不同的星座内，与今年这次的影响力不可容日而语）。,TRUE,2022-02,巨蟹座
21,金星,火星,合相,金星和火星相合时是一对默契的吉星，但二者并不会经常同步，它们每2年相合一次，下一次是2024年2月22日。,TRUE,2022-02,巨蟹座
22,火星,天王星,合相,2月8日惊喜之神天王星与火星在你的第七宫相合，巨蟹座将提前感受到情人节的氛围，在8号当天或者稍后的情人节订婚。,TRUE,2022-02,巨蟹座
23,木星,天王星,合相,另外，在2月17日，木星将会与天王星形成三分相（非常和谐的相位），它们将会与满月的能量混合在一起。,TRUE,2022-02,摩羯座
24,木星,天王星,三分相,另外，在2月17日，木星将会与天王星形成三分相（非常和谐的相位），它们将会与满月的能量混合在一起。,TRUE,2022-02,摩羯座
25,金星,火星,合相,金星和火星将会合相，会单身人士创造新恋情的火花，帮助已经有伴的人增强双方之间的感情。,TRUE,2022-02,水瓶座
26,太阳,土星,对分相,关于婚姻，土星在这个位置上则是测试态度，宇宙在问你，现在这个伴侣适合你吗？它会问，这个人对你有多重要？虽然土星在一个星座停留两年半，但你只会在它对冲本命盘太阳时感受到其存在。,FALSE,2022-02,狮子座
27,木星,天王星,六分相,在这次满月的同时，严格来说第二天，也就是2月17日，木星和天王星呈六分相，意味着惊喜的机会将出现。,TRUE,2022-02,狮子座
28,月亮,土星,合相,事实上，土星将在本月初2月1日新月这天与月亮合相，意味着你已准备好做出坚定的决定或承诺，或采取行动，并在之后的很长时间内坚持执行。,TRUE,2022-02,狮子座
29,太阳,土星,合相,土星现在在水瓶座，一般来说土星和太阳每年都会形成一个特别角度的合相，通常这天没有人会喜欢。,TRUE,2022-02,白羊座
30,火星,天王星,三分相,让我们再看一看2月8日，周二那天也会是一个非常好的日子，那天火星将会和代表惊喜的天王星有三分相，这是一个非常和谐的相位，暗示着你们会意外的获得工作中某场战役的胜利，从而增加自己的好名声。,TRUE,2022-02,白羊座
31,木星,天王星,合相,2月17日，因为天王星和木星之间形成的六合相位，这个在整个2022年来说都是非常罕见的，再一次有这个相位会发生在2026年的7月21日（2026年木星和天王星六合的时候，星座分别是双鱼座和金牛座，今年他们是分别在狮子座和双子座，所以影响力也是完全不同的。,TRUE,2022-02,白羊座
32,木星,天王星,六分相,2月17日，因为天王星和木星之间形成的六合相位，这个在整个2022年来说都是非常罕见的，再一次有这个相位会发生在2026年的7月21日（2026年木星和天王星六合的时候，星座分别是双鱼座和金牛座，今年他们是分别在狮子座和双子座，所以影响力也是完全不同的。,TRUE,2022-02,白羊座
33,金星,火星,合相,通常火星很喜欢和金星待在一起，但是一般都会离得有一点远，因为他们互相运行轨道是不同的。,TRUE,2022-02,白羊座
34,木星,土星,合相,2021年，也就是去年，和现在不同的一点就是：去年，礼物和好运给予者木星和土星在一起，也在你的第十宫。,TRUE,2022-02,金牛座
35,太阳,土星,合相,今年太阳和土星在2月4日形成合相，但它和新月挨得很近，因此也会对新月产生重要影响。,TRUE,2022-02,金牛座
36,木星,天王星,三分相,吉星木星会和代表惊喜的天王星形成和谐相位，这个相位可能会给你带来事业上的机会，让你承担大任。,TRUE,2022-02,金牛座
37,木星,海王星,合相,看起来你的脸即将通过宣传而被更多的人所知晓，你将在下个月看到这一点，但也可能在3月实现——这是由于木星和海王星的靠近，这是自2009年以来它们首次走在一起。,TRUE,2022-03,双子座
38,太阳,金星,合相,在一年中最幸运的这一天，不仅太阳与木星相合，而且金星和火星也相合相进入到水瓶座，这对你来说是个完美的位置，所以如果你在寻找一个突破，你会看到这个突破。,TRUE,2022-03,双子座
39,月亮,木星,合相,双子座的月亮守护着你的工资和其他赚取的收入，而木星与新月紧紧相合相，这意味着你会喜欢你所得到的慷慨工资或佣金。,TRUE,2022-03,双子座
40,水星,天王星,合相,我喜欢水星将与天王星相合，天王星是意外之星——而水星是你的守护星，所以我觉得你会对这次满月的结果感到惊讶。,TRUE,2022-03,双子座
41,太阳,土星,对分相,2011年3月15日的双鱼座新月略有瑕疵，当时土星虽然没在处女座，但依然对冲了双鱼座太阳，搅了好事。,FALSE,2022-03,双鱼座
42,水星,天王星,六分相,值得注意两个相位，第一个是发生在3月17日的天王星与水星（管辖人际/感情）精确六分相。,TRUE,2022-03,双鱼座
43,木星,海王星,合相,木星与海王星将在下个月12号精确合相，但在3月2日双鱼新月时，这两颗行星已经相当接近了。,TRUE,2022-03,双鱼座
