id,planet,house,sign,keywords,reading,is_positive,source_month,source_sign
1,太阳,10,摩羯座,"事业,荣誉,成就,新开始",12月30日发生在摩羯座的新月点亮了你星盘最顶端掌管荣誉、奖励和成就的第十宫。你的职业生活似乎翻开了新的篇章，可能会开始一份重要的新工作，或在现有岗位上被赋予新的职责。,TRUE,2025-01,白羊座
2,新月,10,摩羯座,"事业,长期影响,工作保障",这次新月对你的影响不是一天或一周，而是未来六个月。新月刚出现时会产生最强烈的震动，然后在六个月内逐渐减弱。,TRUE,2025-01,白羊座
3,土星,10,摩羯座,"稳定,长期合作,事业基础",土星，这颗稳定的行星，将处于鼓励你与新雇主建立长期合作关系的理想位置。土星是影响你事业的最主要行星。,TRUE,2025-01,白羊座
4,火星,5,狮子座,"爱情,创意,浪漫,逆行",本月开始时，你的主宰星火星仍将在你的爱情宫逆行。在这几周里，你的想象力和创造力得到了绝佳的绽放机会。你的心思可能在娱乐项目上，但也可能在浪漫上。,FALSE,2025-01,白羊座
5,火星,4,巨蟹座,"家庭,住所,家人,行动",1月6日火星将移至巨蟹座，进入你的家庭宫，并在那里停留数月。保持家中的正常运转将是当务之急。本月火星都会出界，而且表现得很强势。,TRUE,2025-01,白羊座
6,木星,3,双子座,"短途旅行,兄弟姐妹,沟通,社交",木星位于你的第三宫，也掌管着兄弟姐妹。亲朋好友会给你发来便条、信件、短信和电话，其中一些一定会让你感到温暖。可能会有一次短途旅行。,TRUE,2025-01,白羊座
7,天王星,2,金牛座,"财务,惊喜,逆行结束,资金",天王星自9月1日开始逆行，将于1月30日转为顺行，可能会释放你等待已久的资金。天王星位于你的收入第二宫，你可能得到有关金钱的好消息。,TRUE,2025-01,白羊座
8,冥王星,10,摩羯座,"权力,控制,职业变革",火星与冥王星对冲已久，1月上半月仍将处于对冲状态。你似乎遇到了一两个难缠的上司或客户，他们自我陶醉，寸步不让。,FALSE,2025-01,白羊座
9,金星,1,白羊座,"魅力,吸引力,美丽,爱情",温柔迷人的金星将于2月4日进入白羊座，在你的星座停留一整月。白羊座中，金星会提升你的魅力和吸引力，让你更有自信。这是改善外貌、吸引爱情的良好时机。,TRUE,2025-02,白羊座
10,木星,11,双子座,"社交,友谊,机遇,梦想",1月29日水瓶座的新月为你带来一股清新的气息，出现在你掌管乐趣、友谊和社交活动的第十一宫。木星与太阳和新月形成理想的和谐相位，你会结识新朋友，工作压力也会减轻。,TRUE,2025-02,白羊座
11,土星,12,双鱼座,"潜意识,独处,反思,创造力",2月27日的双鱼座新月时，你可能想要蜷缩在家中，反思近期发生的事情。土星与太阳合相，你可能会感到既要让家庭生活井井有条，又要专注于事业的压力。回顾一下你迄今为止所取得的成就，这很可能会是一份令人印象深刻的清单。,TRUE,2025-02,白羊座
12,满月,5,狮子座,"爱情,孩子,创意,意外",2月12日狮子座满月会照亮你代表真挚持久爱情的第五宫。不过，意外的天王星可能会带来一个不受欢迎的意外消息。这可能意味着你的爱情生活会出现意想不到的问题，或者你需要帮助你的一个孩子。,FALSE,2025-02,白羊座
13,太阳,12,双鱼座,"独处,反思,精神健康,潜意识",五星齐聚双鱼座和你的十二宫，真是静下心来回顾过往、展望未来的好时光。十二宫通常和精神健康有关，可能会有白羊在上半月里和医疗专家频繁聚头。,TRUE,2025-03,白羊座
14,水星,12,双鱼座,"逆行,回顾,沟通,合同",水星在3月14日到4月7日逆行，初始在白羊座，随后逆行到双鱼座。现在是回头看、复盘过去的时候，不是做新开始决定的时机。,FALSE,2025-03,白羊座
15,满月,6,处女座,"工作,健康,细节,收尾","3月13日处女座满月带来了某个复杂而细碎工作任务的收尾。满月还会带来健康课题，有什么""宕机""情况，记得寻求医生建议。",TRUE,2025-03,白羊座
16,新月,1,白羊座,"新开始,自我,方向改变,日食",3月29日白羊座新月日食意味着会有生活方向的变化，同时开启了一段新的旅程。新的篇章正是你们内心最深渴望的呈现，而现在它就到来了，比预计的还要快。,TRUE,2025-03,白羊座
17,新月,9,摩羯座,"海外旅行,学习,出版,法律",12月30日新月出现在摩羯座，点亮了你的第九宫。这次新月非常适合出城放松玩乐，还有机会见到朋友。你可能会飞去海外的大城市，或者开始做新年计划。,TRUE,2025-01,金牛座
18,木星,2,双子座,"收入,财务,幸运,资源",木星还在象征收入的第二宫运行，他蓄势待发。如果你努力赢下了更好的工作，随之而来的可能就是更高的薪水和更慷慨的福利待遇。,TRUE,2025-01,金牛座
19,火星,3,巨蟹座,"沟通,旅行,学习,思维",1月6日火星会退回到巨蟹座。巨蟹座象征家和家人，但也会激发你对旅行的渴望，可能会鼓励你周末去离家不远的地方转转。,TRUE,2025-01,金牛座
20,新月,10,水瓶座,"事业,晋升,荣耀,成就",1月29日水瓶座新月会点亮你的第十宫，象征着荣耀、嘉奖和事业成就。这段时间，事业进展会让你非常满意。你可能会因为过去的表现受到褒奖，也可能会获得好公司的重要职位。,TRUE,2025-01,金牛座
21,天王星,1,金牛座,"自我,转变,独立,恢复顺行",1月30日天王星恢复顺行。天王星自去年9月1日开始逆行，如果你一直在寻找新的工作岗位或希望获得提升，恢复顺行的天王星会给你很大的帮助。,TRUE,2025-01,金牛座
22,新月,8,摩羯座,"财务,投资,债务,他人钱财",12月30日摩羯座新月照亮了你代表他人钱财的宫位。这次新月促使你在进入新的一年时准备好清白的财务状况。你会做最后的账目记录，为2024年划上句号。,TRUE,2025-01,双子座
23,木星,1,双子座,"自我,幸运,成长,魅力",好运的木星仍在双子座，在2025年6月9日之前都会继续眷顾你。这是你的绿翡翠之年，因为木星每12年才会光顾你的星座一年，所以要对出现的机会保持警惕。,TRUE,2025-01,双子座
24,土星,10,双鱼座,"事业,责任,长期规划,声誉",土星正在你的第十宫事业宫运行，教导你更新和改变赚钱方法的价值。1月13日满月时，土星会发出一束闪亮的直接光束，增加你的机会，带来新业务或加薪。,TRUE,2025-01,双子座
25,满月,2,巨蟹座,"收入,财务结束,安全感",1月13日巨蟹座满月时，你将结束对财务的关注。如果有人欠你钱，钱应该会来找你。这次满月将与掌管奇迹的吉星木星成三分相。,TRUE,2025-01,双子座
26,新月,9,水瓶座,"长途旅行,国际,学习,法律",1月29日水瓶座新月在你掌管长途旅行和国际关系的第九宫闪耀。你可能会有一次激动人心的海外旅行，或者与外国客户合作一个项目。,TRUE,2025-01,双子座
27,火星,2,巨蟹座,"支出,收入,动力,消费",火星于1月6日进到巨蟹座，将在该星座停留至4月17日。火星在巨蟹座可能会增加你的开支，但也会激励你赚更多的钱。,TRUE,2025-01,双子座
28,新月,7,摩羯座,"关系,婚姻,承诺,伴侣",12月31日的新月落在你星盘第七宫婚姻和承诺宫。很多认真约会的巨蟹座这时订婚、结婚。这时很适合连接关系纽带，因为新月的主星土星为你们的结合带来长期持久的天分。,TRUE,2025-01,巨蟹座
29,土星,9,摩羯座,"旅行,教育,长期规划",土星在你星盘远方宫第九宫，所以我一开始就提到旅行，与伴侣一起旅行是很棒的想法。土星的位置说明，你的伴侣会带来更多的经验和更大的成功。,TRUE,2025-01,巨蟹座
30,火星,1,巨蟹座,"自我,行动,主导权,能量",火星将于1月6日进入巨蟹座，你可能希望现在更有主控权。火星逆行时，你更难说服任何人相信任何事。你还是可以在很多领域获取进展，但需要用上更多时间、精力。,FALSE,2025-01,巨蟹座
31,满月,1,巨蟹座,"自我,完成,能量,决心",1月13日发生在巨蟹座24°的重要满月，这将是你的重大时刻。这次巨蟹座满月与火星相合，你将充满能量和决心，将事情稳妥处理。,TRUE,2025-01,巨蟹座
32,木星,8,双子座,"他人钱财,好运,收益,转型",1月29日的水瓶座新月点亮你星盘第八宫外财宫。礼物与好运的使者木星与新月呈吉相，神圣的三分相。你可能开心地得到一笔奖金、佣金、版税、尾款。,TRUE,2025-01,巨蟹座
33,金星,9,双鱼座,"旅行,爱情,魅力,形象",金星整月都在双鱼座，对巨蟹座非常有爱的位置。这种能量让你在任何聚会中脱颖而出，也是完美的时机改变造型、添置衣饰。你的魅力闪闪发亮，吸引别人关注。,TRUE,2025-01,巨蟹座
34,新月,6,摩羯座,"工作,健康,效率,日常事务",12月30日的新月将力量投入你星盘第六宫工作项目宫。新月将得到土星的支持，如果你想找到新工作，土星将帮你得到一份长期稳定的工作。,TRUE,2025-01,狮子座
35,土星,8,双鱼座,"他人钱财,深度承诺,转型",土星在你星盘第八宫，说明你将建立一段重要的关系，这段关系涉及金钱或深层情感承诺。这将是一段长期的关系。,TRUE,2025-01,狮子座
36,满月,12,巨蟹座,"潜意识,独处,休息,精神",1月13日的满月位于你星盘第十二宫，独处宫位。这时适合静养、休息，或者完成一个重要的创意项目。你的直觉将非常敏锐。,TRUE,2025-01,狮子座
37,新月,5,摩羯座,"爱情,浪漫,孩子,创意",12月30日的新月将为你带来一个或多个新恋情的可能。新月位于你星盘第五宫真爱宫，如果你是单身，这将是一个美妙的开始。,TRUE,2025-01,处女座
38,木星,9,双子座,"长途旅行,教育,出版,法律",木星位于你星盘第九宫，为你在国际关系、高等教育、出版或法律事务方面带来好运。1月29日的新月将进一步强化这一趋势。,TRUE,2025-01,处女座
39,新月,4,摩羯座,"家庭,住所,父母,安全感",12月30日的新月为你带来改善家庭状况的机会。新月位于你星盘第四宫家庭宫，你可能找到理想的住所，或者改善与家人的关系。,TRUE,2025-01,天秤座
40,火星,10,巨蟹座,"事业,声望,竞争,压力",火星在你星盘第十宫事业宫，带来事业上的竞争和挑战。你需要更多努力来证明自己，但这最终将提升你的职业地位。,TRUE,2025-01,天秤座
41,新月,3,摩羯座,"沟通,短途旅行,学习,合同",12月30日的新月位于你星盘第三宫，这是一个签署合同、进行短途旅行或开始学习新技能的好时机。你的沟通能力将得到提升。,TRUE,2025-01,天蝎座
42,火星,9,巨蟹座,"长途旅行,教育,探索,冒险",火星位于你星盘第九宫远方宫，激发你对旅行和探索的渴望。你可能计划一次长途旅行，或者开始一个新的学习项目。,TRUE,2025-01,天蝎座
43,新月,2,摩羯座,"财务,收入,价值观,资源",12月30日的新月点亮你星盘第二宫财务宫，为你带来新的收入来源。如果你要求加薪，或者寻找新的收入机会，这个新月将帮助你。,TRUE,2025-01,射手座
