id,planet,is_retrograde,is_direct,reading,source_month,source_sign
1,木星,True,False,(在那期间有部分时间木星是在逆行的，所以你过去最强的时期是在2021年5月13日至6月20日）,2022-01,双子座
2,木星,True,False,与2021年不同的是，2022年的头几个月，木星在你的第十宫荣誉、奖项和成就宫位时，有一半的时间是微弱地逆行着，而在2022年的第一个月木星将保持强劲的状态,2022-01,双子座
3,水星,True,False,一定要对你的选择的范围保持开放态度，直到你能看清所拥有的布局情况，因为你的守护星水星将在1月14日至2月3日里逆行,2022-01,双子座
4,金星,True,False,金星目前也在逆行，这一星象从12月19日开始，将持续到1月29日,2022-01,双子座
5,金星,True,False,也最好把做医美的计划推迟到2月，包括打肉毒杆菌和填充什么的——这些可能是都价格不匪，所以你会想在金星清醒并能支持你的时候再去看皮肤科医生，而不是在她逆行睡觉的时候,2022-01,双子座
6,金星,True,False,如果你是单身，本月金星逆行的时候，你遇到了新的人，可能会发生激烈的感情，但又会很快冷却下来，因为金星掌管感情——金星在逆行的期间会限制这种感情,2022-01,双子座
7,水星,True,False,水星，你的守护星，将从1月14日逆行到2月3日，所以只有在水星调节好其轨道后，安排才能变得稳固,2022-01,双子座
8,冥王星,False,True,太阳和冥王星将在此时相合，所以如果你正在寻找贷款人、赞助人或风险资本，你可能会在握手时达成协议，并开始起草法律文件，在下个月签署（在水星——你的守护行星和管理所有通信和合同的行星——2月3日顺行之后）,2022-01,双子座
9,金星,True,True,金星在2021年12月19日开始逆行，并将在2022年1月29日顺行,2022-01,双子座
10,木星,True,False,而今年，从现在一直到5月10日，木星会以光速前进，不会逆行，这就让年初这段时间非常特别,2022-01,双鱼座
11,金星,True,False,我必须在这里补充一点免责声明，因为金星从2021年12月19日就开始逆行，直至2022年1月29日,2022-01,双鱼座
12,水星,True,False,水星逆行期间，不应该购买电子设备，无论是电脑、智能手机、相机和洗碗机、冰箱或吸尘器，以及任何其他有电子元件或运动部件齿轮的物品（水星主宰这两者）,2022-01,双鱼座
13,水星,True,False,1月14日到2月3日，你的主星水星逆行，所以我希望你等一等再发出正式申请，2021年12月19日金星开始了逆行，将持续到1月29日，这个月是个缓慢的开始，但可能让你很开心——工作要求不高，节奏更平和，听着不错,2022-01,处女座
14,金星,True,False,1月14日到2月3日，你的主星水星逆行，所以我希望你等一等再发出正式申请，2021年12月19日金星开始了逆行，将持续到1月29日，这个月是个缓慢的开始，但可能让你很开心——工作要求不高，节奏更平和，听着不错,2022-01,处女座
15,金星,True,False,多放松一点的时机完美，1月有个缓慢从容的开始，因为金星和水星都会逆行，水星、金星、火星距离地球最近，我们总是感受到它们的影响，比外行星明显许多，所以现在两星逆行，要到1月末甚至2月初才看到生活节奏加速，是完全可以理解的,2022-01,处女座
