id,planet,sign,reading,source_month
1,火星,狮子座,火星在狮子座，你的想象力和创造力得到了绝佳的绽放机会。你的心思可能在娱乐项目上，但也可能在浪漫上。,2025-01
2,火星,巨蟹座,火星在巨蟹座，你会非常关注你的家庭生活--物理空间以及你的直系亲属和父母。保持家中的正常运转将是当务之急。,2025-01
3,木星,双子座,木星在双子座，位于你的第三宫，掌管短途旅行和通信。兄弟姐妹可能会给你带来好消息。,2025-01
4,土星,摩羯座,土星在摩羯座，影响你事业的最主要行星。处于鼓励你与新雇主建立长期合作关系的理想位置。,2025-01
5,天王星,金牛座,天王星在金牛座，位于你的收入第二宫。可能会释放你等待已久的资金，带来有关金钱的好消息。,2025-01
6,金星,白羊座,金星在白羊座，提升你的魅力和吸引力。这是改善外貌、吸引爱情的良好时机。,2025-02
7,火星,巨蟹座,火星在巨蟹座，使你的实际住所、房产成为焦点。正在制定与家庭相关的计划。,2025-02
8,木星,双子座,木星在双子座，为你带来社交机遇。你会结识新朋友，工作压力也会减轻。,2025-02
9,太阳,双鱼座,太阳在双鱼座，和你的十二宫群星一起，强调精神健康和独处反思的主题。,2025-03
10,水星,双鱼座,水星在双鱼座逆行，适合回顾复盘，不适合签署新合同或做重大决定。,2025-03
11,金星,白羊座,金星在白羊座逆行，不适合外貌大改造，但适合提升内在魅力。,2025-03
12,木星,双子座,木星在双子座，位于你的收入宫。如果你获得更好的工作，随之而来的可能就是更高的薪水。,2025-01
13,天王星,金牛座,天王星在金牛座，1月30日恢复顺行。如果你一直在寻找新的工作岗位，这会给你很大的帮助。,2025-01
14,火星,巨蟹座,火星在巨蟹座，激发你对旅行的渴望，可能会鼓励你周末去离家不远的地方转转。,2025-01
15,木星,双子座,木星在双子座，这是你的绿翡翠之年。木星每12年才会光顾你的星座一年，新的面孔将开始涌入你的生活，其中不乏有想要帮助你的有权势的贵人。,2025-01
16,土星,双鱼座,土星在双鱼座，位于你的事业宫，教导你更新和改变赚钱方法的价值。,2025-01
17,火星,巨蟹座,火星在巨蟹座，可能会增加你的开支，但也会激励你赚更多的钱。,2025-01
