id,planet_a,planet_b,aspect_type,reading,is_positive,source_month,source_sign
1,土星,太阳,三分相,土星将与太阳和新月呈理想角度，因此你的创造力和出色的战略判断力将给贵宾们留下深刻印象。太阳和新月与土星的这一良好相位表明，你的表现将产生长期影响，带来令人印象深刻的工作保障。,TRUE,2025-01,白羊座
2,土星,新月,三分相,土星，这颗稳定的行星，将处于鼓励你与新雇主建立长期合作关系的理想位置。幸运的是，土星与太阳和新月的相位如此美妙。,TRUE,2025-01,白羊座
3,火星,冥王星,对分相,"火星与冥王星对冲已久，1月上半月仍将处于对冲状态。它们将在1月2日达到精确对冲，然后开始慢慢分开。你似乎遇到了一两个难缠的上司或客户，他们自我陶醉，说""要么我行我素，要么大路朝天""，寸步不让。",FALSE,2025-01,白羊座
4,木星,太阳,三分相,太阳和新月将收到来自你掌管短途旅行和通信的第三宫的吉星木星的金色、闪耀的振动。,TRUE,2025-01,白羊座
5,木星,新月,三分相,1月29日水瓶座的重要新月将为你带来不少社交机会。幸运星木星将与太阳和新月形成完美的三分相，没有比这更好的了！,TRUE,2025-01,白羊座
6,天王星,火星,六分相,天王星将与你的主宰者火星进行美妙的对话，引发各种你意想不到的好消息。由于火星位于你的家庭宫，你可能会从家人那里得到一笔钱。,TRUE,2025-01,白羊座
7,天王星,太阳,三分相,天王星与太阳呈美丽的三分相（最和谐的相位）。这预示着你会得到有关家庭或其他财产的好消息，或者来自家庭成员的好消息。,TRUE,2025-01,白羊座
8,金星,海王星,六分相,天王星也将与金星和海王星呈六分相（带来机会），这两颗行星都与美和装饰有关。未来几周，你似乎也会在家里举行娱乐活动，增加乐趣。,TRUE,2025-01,白羊座
9,火星,土星,三分相,本月火星与土星形成良好角度，表明你似乎正在制定一个与家庭相关的计划，这将给你和与你共享空间的人带来强烈的稳定感和安全感。,TRUE,2025-02,白羊座
10,天王星,金星,六分相,天王星在你的财务宫与金星在你的社交宫之间有着美好的交流，你可能会得到一个能让你立即或最终赚到更多钱的提示。,TRUE,2025-02,白羊座
11,天王星,太阳,四分相,2月12日满月时，意外的天王星位于你的个人储蓄和收入领域，可能会让你变得节俭，没有花钱的兴致。你可能会推掉社交邀请，以免你的参与出现在账单上。,FALSE,2025-02,白羊座
12,冥王星,新月,合相,由于冥王星位于代表友谊和社交活动的第十一宫的行星群中，你可能会遇到一些有权有势、白手起家的人，他们能够帮助你取得进步。,TRUE,2025-02,白羊座
13,水星,天王星,三分相,水星与天王星形成完美角度，表明你的想法除了能赢得赞誉之外，还有可能为你带来一笔可观的收入。,TRUE,2025-03,白羊座
14,太阳,土星,合相,满月期间，土星和太阳有合相。太阳是五宫的主宰星，关心下自己、孩子、父亲，还有约会对象的健康状况。土星给太阳的影响，通常是耗费能量的那种。,FALSE,2025-03,白羊座
15,木星,新月,六分相,木星在新月期间散发出的快乐光芒，让你们有机会来一次短途旅行。,TRUE,2025-03,白羊座
16,火星,新月,六分相,三月初的新月和火星有六合相位，友好的互动，会让家庭、居所成为心尖尖上的事，带来一些好机会。,TRUE,2025-03,白羊座
17,木星,太阳,三分相,木星与新月和太阳形成三分相。木星位于收入宫，而太阳和新月位于事业宫，这意味着如果你获得晋升，随之而来的可能就是更高的薪水。,TRUE,2025-01,金牛座
18,天王星,火星,六分相,天王星会以非常友好的态度向火星发出信号。如果你要参与沟通、通讯相关的项目，比如开始设计一个APP，天王星和火星的相位会给你非常好的契机。,TRUE,2025-01,金牛座
19,火星,土星,三分相,满月期间火星与土星处于理想位置。采取保守的理财方式或许是个明智之举。火星与土星的友好互动会让你在工作中受到称赞。,TRUE,2025-01,金牛座
20,土星,太阳,六分相,土星对太阳和新月非常友好，形成一个六分相（代表一个机会），帮助你把金钱事务建立在稳固、安全的基础上。,TRUE,2025-01,双子座
21,木星,满月,三分相,这次满月将与掌管奇迹的吉星木星成三分相。这真是个好消息，因为它可能会给你带来一笔你意想不到的钱。,TRUE,2025-01,双子座
22,天王星,满月,六分相,满月还将与天王星形成和谐的角度。这可能会给你带来一笔你意想不到的钱，这笔钱可以支付你本月的所有债务。,TRUE,2025-01,双子座
23,木星,太阳,三分相,木星将与太阳和这轮新月形成三分相。新月位于你的第九宫，所以自然而然，这次新月可能会让你很快地前往机场。,TRUE,2025-01,双子座
24,冥王星,满月,对分相,冥王星与这次满月对冲，因此你可能不得不支付一笔难以支付的巨额款项。由于冥王星有些专横和坚持，你似乎别无选择。,FALSE,2025-01,双子座
25,火星,金星,三分相,1月25日，火星将与金星相会。这意味着你将拥有广泛的人气，从贵宾、同行到下属，几乎所有人都会因为你的工作而喜欢你。,TRUE,2025-01,双子座
26,木星,新月,三分相,礼物与好运的使者木星与新月呈吉相，神圣和谐的三分相。如果你开始报税，可能发现要缴纳的税额比预期中少。,TRUE,2025-01,巨蟹座
27,火星,满月,合相,巨蟹座满月与火星相合，你将充满能量和决心，将事情稳妥处理。但是，因为火星逆行，你可能遇到些小故障，所以别急着推进。,TRUE,2025-01,巨蟹座
28,火星,金星,六分相,1月25日火星在巨蟹座与他的情人、双鱼座的金星呈吉相，这是发生在水象星座的魔力相位，方方面面都很理想。有伴的巨蟹座，庆祝你们对彼此的爱，旅行也是好选择。,TRUE,2025-01,巨蟹座
