id,planet,house,sign,keywords,reading,is_positive,source_month,source_sign
1,木星,10,双子座,,木星在你的第十宫荣誉、奖项和成就宫位时，有一半的时间是微弱地逆行着，而在2022年的第一个月木星将保持强劲的状态。,TRUE,2022-01,双子座
2,土星,8,双子座,,土星掌管你的第八宫，即代表他人的钱财的宫位（也是新月到达的地方），而土星目前在你的第九宫，所以钱财很可能来自某个媒体项目（写作、编辑、广播或制作）或国外的公司。,TRUE,2022-01,双子座
3,土星,9,双子座,,土星掌管你的第八宫，即代表他人的钱财的宫位（也是新月到达的地方），而土星目前在你的第九宫，所以钱财很可能来自某个媒体项目（写作、编辑、广播或制作）或国外的公司。,TRUE,2022-01,双子座
4,新月,8,双子座,,新月位于摩羯座12度，连同她的伙伴，太阳、金星和冥王星，都位于摩羯座，充斥着你的第八宫，代表着其他人的钱。,TRUE,2022-01,双子座
5,新月,9,双子座,,新月到达的地方），而土星目前在你的第九宫，所以钱财很可能来自某个媒体项目（写作、编辑、广播或制作）或国外的公司。,TRUE,2022-01,双子座
6,满月,2,双子座,,满月中，位于金牛座的意外之星天王星将与金星接触，金星仍然位于你的财务宫，因为它在摩羯座里来回。,TRUE,2022-01,双子座
7,天王星,5,天秤座,,天王星将在1月18日恢复顺行，这对你来说是个好消息，因为这颗代表惊喜的行星掌管着你的第五宫真爱宫。,TRUE,2022-01,天秤座
8,满月,5,天秤座,,满月之后接踵而来的是天王星将在1月18日恢复顺行，这对你来说是个好消息，因为这颗代表惊喜的行星掌管着你的第五宫真爱宫。,TRUE,2022-01,天秤座
9,太阳,3,天蝎座,,太阳，掌管着你的事业，正在你的沟通宫里，所以无论你1月份的时候在忙什么，在1月2日的新月发生之后，似乎你的职业声誉都会提升，让你得到重要人物的赞赏。,TRUE,2022-01,天蝎座
10,火星,2,天蝎座,,火星在你的第二宫里穿行，迫使你的花费比以往更高，这也可能是你选择待在家里的一个原因。,TRUE,2022-01,天蝎座
11,金星,7,巨蟹座,,金星接收到来自天王星的光芒与能量，也将造访你的第七宫伴侣宫，不管是个人感情还是事业合作，巨蟹都将获得杰出的成就。,TRUE,2022-01,巨蟹座
12,天王星,7,巨蟹座,,天王星在巨蟹第十一宫，代表希望和愿景的宫位，金星在你的伴侣宫，你和搭档极有可能成功实现伟大愿景。,TRUE,2022-01,巨蟹座
13,天王星,8,巨蟹座,,天王星掌管着你的第八宫外财宫——贷款、风险投资、佣金、版税、信用卡最高额度、法院判罚的赔款或其他资金。,TRUE,2022-01,巨蟹座
14,新月,7,巨蟹座,,新月发生在巨蟹座的对宫摩羯12°，这是你的婚姻宫，也与以合约为基础的庄重商业关系有关，比如成为合伙人、代理商、会计师、律师或其他专业从业者。,TRUE,2022-01,巨蟹座
15,满月,7,巨蟹座,,满月带来的唯一一个利好消息，还有更多哦！金星接收到来自天王星的光芒与能量，也将造访你的第七宫伴侣宫，不管是个人感情还是事业合作，巨蟹都将获得杰出的成就。,TRUE,2022-01,巨蟹座
16,火星,9,白羊座,,火星，你的守护行星，将在你的第九宫里巡视，为广播和出版、旅行以及与海外人士的关系等主题注入活力。,TRUE,2022-01,白羊座
17,火星,2,双子座,,火星正在加速穿过你的财务宫位（第八宫），火星在你星图的这一宫位出现，要么迫使你增加开支，要么让你有消费的欲望。,TRUE,2022-02,双子座
18,满月,3,双子座,,满月发生在你的另外一个代表旅行的宫位，你的第三宫，所以你可能会和你爱的人在个拥有着迷人的床和早餐的地方，或者是豪华酒店里度过一个漫长的周末。,TRUE,2022-02,双子座
19,金星,4,天秤座,,金星和火星今年将相遇两次——首先是2月16日在摩羯座，你的家庭宫，然后是3月6日在水瓶座，你的真爱宫。,TRUE,2022-02,天秤座
20,火星,4,天秤座,,火星为你的家庭宫提供能量，所以如果这个月你有时间去浏览一些空间，你可能会发现一所你喜欢的公寓或房子。,TRUE,2022-02,天秤座
21,太阳,9,射手座,,太阳碰巧相遇，太阳掌管你的第九宫，包括长距离旅行，海外关系，法律事宜，为获得高等教育的努力付出，还有媒体，主要是播客和出版。,TRUE,2022-02,射手座
22,水星,10,射手座,,水星掌管你的第十宫事业声誉和威望的提升，所以如果你因为事情和机会的停滞感到沮丧难过，水星转顺会带来显著的帮助。,TRUE,2022-02,射手座
23,土星,9,射手座,,土星会在2月4日与太阳碰巧相遇，太阳掌管你的第九宫，包括长距离旅行，海外关系，法律事宜，为获得高等教育的努力付出，还有媒体，主要是播客和出版。,TRUE,2022-02,射手座
24,满月,9,射手座,,满月会落在你的第九宫里，也是之前提到可能会暂时有延误的宫位，长途旅行，国际关系，移民，居民身份，签证和绿卡，追求高等教育的相关事宜，媒体，法律事宜等。,TRUE,2022-02,射手座
25,金星,4,巨蟹座,,金星与天王星呈三分相（吉相），金星在保护着你的家庭宫，并带来让你惊喜不已的好消息。,TRUE,2022-02,巨蟹座
26,火星,4,巨蟹座,,"火星是巨蟹座第十宫——象征威望和成就的宫位的主宰星，哪怕你对于目前的加薪或佣金比例不满意，你也会用实力证明，自己就是年度之星，哪怕目前还没有做到！他们不想失去你！未来怎样？咱们接下来几个月走着瞧！现在还只是开端，5月起，巨蟹将乘风破浪，迎接一波又一波胜利！

2月初，金星与天王星呈三分相（吉相），金星在保护着你的家庭宫，并带来让你惊喜不已的好消息。",TRUE,2022-02,巨蟹座
27,火星,7,巨蟹座,,火星在你的第七宫相合，巨蟹座将提前感受到情人节的氛围，在8号当天或者稍后的情人节订婚。,TRUE,2022-02,巨蟹座
28,木星,7,巨蟹座,,木星在巨蟹的第九宫，火星在你的第七宫，你将获得某位外籍人士的忠实拥护，无论在感情还是事业上。,TRUE,2022-02,巨蟹座
29,金星,6,狮子座,,金星和火星会你的第六宫日常工作宫合作闪亮的二重唱，你可能会通过办公场合遇到某人（假设你不是独自在家工作）。,TRUE,2022-02,狮子座
30,火星,6,狮子座,,火星位于你的第六宫工作宫，而木星位于第八宫他人资源宫，看起来你会挣到非常可观的佣金、提成。,TRUE,2022-02,狮子座
31,木星,2,狮子座,,木星和代表意外的天王星将进行极其罕见的交流，将你的金钱宫和职业荣誉、奖项和成就联系起来。,TRUE,2022-02,狮子座
32,土星,10,金牛座,,土星会在你的事业宫一直逗留到2023年，土星会要求你全身心奉献于事业目标，土星在事业宫运行的时候，这一要求会贯穿始终。,TRUE,2022-02,金牛座
33,天王星,10,金牛座,,天王星掌管你的事业宫，因此，2月你可能会通过写作、面向某个团体演讲或者在社交媒体上发布内容提升自己的威望。,TRUE,2022-02,金牛座
34,太阳,3,双子座,,太阳掌管你的第三宫沟通宫（就像第九宫一样，我将在后面讨论），所以你的职业发展可能与写作、编辑、翻译、演讲、讲座或教学有关，或与公共关系、市场、销售或专业谈判有关（比如你是劳工谈判者、仲裁者或律师）。,TRUE,2022-03,双子座
35,月亮,2,双子座,,月亮掌管着你的第二宫，即收入宫，而木星与新月相合，如果你真的得到了一份华丽的工作邀约，那它将带来慷慨的报偿。,TRUE,2022-03,双子座
36,木星,7,双子座,,木星守护着你的第七宫，所以似乎会要打开你的突破口，你会需要一位代理人或中间人，来把你引荐给一位有影响力的会帮助你的人。,TRUE,2022-03,双子座
