id,planet,house,sign,keywords,reading,is_positive,source_month,source_sign
1,金星,2,双子座,财务宫,在这次满月中，位于金牛座的意外之星天王星将与金星接触，金星仍然位于你的财务宫，因为它在摩羯座里来回,TRUE,2022-01,双子座
2,天王星,2,双子座,财务宫,在这次满月中，位于金牛座的意外之星天王星将与金星接触，金星仍然位于你的财务宫，因为它在摩羯座里来回,TRUE,2022-01,双子座
3,满月,2,双子座,财务宫,在这次满月中，位于金牛座的意外之星天王星将与金星接触，金星仍然位于你的财务宫，因为它在摩羯座里来回,TRUE,2022-01,双子座
4,太阳,3,天蝎座,沟通宫,太阳，掌管着你的事业，正在你的沟通宫里，所以无论你1月份的时候在忙什么，在1月2日的新月发生之后，似乎你的职业声誉都会提升，让你得到重要人物的赞赏,TRUE,2022-01,天蝎座
5,水星,3,射手座,交流宫,水星在你的交流宫里，所以当你回复群体邮件时，一定更要确保你只有回复给合适的人群，然后再点击发送,TRUE,2022-01,射手座
6,新月,7,巨蟹座,婚姻宫,1月2日友好的新月发生在巨蟹座的对宫摩羯12°，这是你的婚姻宫，也与以合约为基础的庄重商业关系有关，比如成为合伙人、代理商、会计师、律师或其他专业从业者,TRUE,2022-01,巨蟹座
7,金星,7,巨蟹座,伴侣宫,天王星在巨蟹第十一宫，代表希望和愿景的宫位，金星在你的伴侣宫，你和搭档极有可能成功实现伟大愿景,TRUE,2022-01,巨蟹座
8,天王星,7,巨蟹座,伴侣宫,天王星在巨蟹第十一宫，代表希望和愿景的宫位，金星在你的伴侣宫，你和搭档极有可能成功实现伟大愿景,TRUE,2022-01,巨蟹座
9,火星,2,双子座,财务宫,火星正在加速穿过你的财务宫位（第八宫），火星在你星图的这一宫位出现，要么迫使你增加开支，要么让你有消费的欲望,TRUE,2022-02,双子座
10,金星,4,天秤座,家庭宫,出乎意料的是，金星和火星今年将相遇两次——首先是2月16日在摩羯座，你的家庭宫，然后是3月6日在水瓶座，你的真爱宫,TRUE,2022-02,天秤座
11,火星,4,天秤座,家庭宫,出乎意料的是，金星和火星今年将相遇两次——首先是2月16日在摩羯座，你的家庭宫，然后是3月6日在水瓶座，你的真爱宫,TRUE,2022-02,天秤座
12,火星,9,天蝎座,旅行宫,你的守护星火星目前正在和他的爱人进行一起在你的旅行宫里穿行，所以如果你非单身的话，跟你的另一半来一次周末旅行会非常的浪漫,TRUE,2022-02,天蝎座
13,金星,4,巨蟹座,家庭宫,2月初，金星与天王星呈三分相（吉相），金星在保护着你的家庭宫，并带来让你惊喜不已的好消息,TRUE,2022-02,巨蟹座
14,天王星,4,巨蟹座,家庭宫,2月初，金星与天王星呈三分相（吉相），金星在保护着你的家庭宫，并带来让你惊喜不已的好消息,TRUE,2022-02,巨蟹座
15,火星,6,狮子座,工作宫,2月8日也是星光灿烂的一天，火星在摩羯座（你的工作宫）将触及位于你的第十宫金牛座的天王星,TRUE,2022-02,狮子座
16,木星,2,狮子座,金钱宫,2月17日，代表好运和恩赐的木星和代表意外的天王星将进行极其罕见的交流，将你的金钱宫和职业荣誉、奖项和成就联系起来,TRUE,2022-02,狮子座
17,天王星,2,狮子座,金钱宫,2月17日，代表好运和恩赐的木星和代表意外的天王星将进行极其罕见的交流，将你的金钱宫和职业荣誉、奖项和成就联系起来,TRUE,2022-02,狮子座
18,土星,10,金牛座,事业宫,土星会在你的事业宫一直逗留到2023年，土星会要求你全身心奉献于事业目标，土星在事业宫运行的时候，这一要求会贯穿始终,TRUE,2022-02,金牛座
19,满月,4,金牛座,家庭宫,2月16日的满月会点亮你的家庭宫，因此，尽管我看到你希望旅行，但这个月，旅行可能不切实际,TRUE,2022-02,金牛座
20,天王星,10,金牛座,事业宫,天王星掌管你的事业宫，因此，2月你可能会通过写作、面向某个团体演讲或者在社交媒体上发布内容提升自己的威望,TRUE,2022-02,金牛座
21,火星,4,天蝎座,家庭宫,你的第二守护星火星将进入你的第四宫家庭宫，从3月6日开始整个月都会与女伴金星厮磨相守,TRUE,2022-03,天蝎座
22,新月,4,摩羯座,家宅宫,随着本月渐进尾声，新月将于3月31日（或4月1日，取决于你的时区）出现在勇敢的白羊座内，这里也是你的家宅宫,TRUE,2022-03,摩羯座
23,木星,7,处女座,关系宫,如果4月或5月看着太快，你还没有这样的计划，2022年10月27日到12月20日，木星还会来到双鱼座，你星盘的婚姻与合作关系宫,TRUE,2022-04,处女座
24,火星,5,天秤座,爱情宫,火星现在在你的爱情宫水瓶座，它会一直待到4月14日，所以你可能会订婚或者结婚，抑或如果你已婚，你可能会谋划一些你很想两个人一起去做的事情,TRUE,2022-04,天秤座
25,新月,7,天秤座,伴侣宫,4月1日的新月（或者是3月31日，取决于你所在时区）在白羊座12°，落在你的伴侣宫，你可能会对一段感情或一项业务做出承诺,TRUE,2022-04,天秤座
26,木星,7,天秤座,伴侣宫,当你在5月10日迎来礼物与好运的施予者木星进入你的第七宫伴侣宫时，你星盘中的这个宫位将会被点亮得更加辉煌,TRUE,2022-04,天秤座
27,木星,5,射手座,恋爱宫,观察你的生活会因为这次白羊座新月如何被影响，因为下个月木星，礼物和好运的馈赠者，同时也是你的主星，会进入你的恋爱宫,TRUE,2022-04,射手座
28,新月,5,射手座,恋爱宫,观察你的生活会因为这次白羊座新月如何被影响，因为下个月木星，礼物和好运的馈赠者，同时也是你的主星，会进入你的恋爱宫,TRUE,2022-04,射手座
29,木星,4,射手座,家庭宫,木星是好运之星，所到之处都会被扩张，海王星是艺术之星，这两颗星星会在你的家庭宫里相遇，就是为何我会说你的家会为你带来最多的欢乐和收益,TRUE,2022-04,射手座
30,海王星,4,射手座,家庭宫,木星是好运之星，所到之处都会被扩张，海王星是艺术之星，这两颗星星会在你的家庭宫里相遇，就是为何我会说你的家会为你带来最多的欢乐和收益,TRUE,2022-04,射手座
31,木星,10,巨蟹座,事业宫,5月的星象亮点在于，幸运使者木星将在5月10日进入巨蟹的第十宫事业宫（它代表荣誉、成就和奖励），它将在此停留至10月27日，并且将于2022年12月20日再次回归至该宫位，2023年年初几个月，巨蟹座的事业发展将突破一个又一个巅峰,TRUE,2022-04,巨蟹座
32,火星,9,摩羯座,旅行宫,在4月14日火星进入双鱼座，并同早已在你的第3宫旅行宫双鱼座内等待迎接火星的金星、海王星、木星会合之后（金星于4月5日进入双鱼），你可能有机会去短途旅行,TRUE,2022-04,摩羯座
33,火星,4,摩羯座,家宅宫,留意5月底至7月头几天，对房地产事务也格外特殊，因为彼时象征行动的英雄火星将在你的家宅宫内,TRUE,2022-04,摩羯座
34,火星,2,双鱼座,收入宫,火星和木星在白羊座相遇，即你的收入宫，这就像在赚钱和增加财富的方法上有了好运双保险,TRUE,2022-05,双鱼座
35,木星,2,双鱼座,收入宫,火星和木星在白羊座相遇，即你的收入宫，这就像在赚钱和增加财富的方法上有了好运双保险,TRUE,2022-05,双鱼座
36,水星,10,射手座,事业宫,水星掌管着你的事业宫第十宫，这里也代表着名望和荣誉，随着木星来跟水星一起发力，你会听到消息某个过往的客户希望你能够承担一个复杂的项目，然后这会给你带来丰厚的报酬,TRUE,2022-05,射手座
37,水星,6,射手座,工作宫,我非常喜欢这次水星和冥王星形成的完美角度——冥王星在你的财富宫，然后水星在你的工作宫，所以你很快就会有一份收入不错的工作，也许就是因为你和这位专家形成的这个合作联盟带来的,TRUE,2022-05,射手座
38,冥王星,6,射手座,工作宫,我非常喜欢这次水星和冥王星形成的完美角度——冥王星在你的财富宫，然后水星在你的工作宫，所以你很快就会有一份收入不错的工作，也许就是因为你和这位专家形成的这个合作联盟带来的,TRUE,2022-05,射手座
39,火星,10,巨蟹座,荣誉宫,一旦火星在 5 月 24 日进入白羊座，它将与木星合力，最终在 5 月 29 日这两个行星在你的奖项和荣誉宫罕见地合相,TRUE,2022-05,巨蟹座
40,火星,3,摩羯座,交流宫,其次，火星现在也正在与你适配的双鱼座内，即你的交流宫，它将对在你真爱宫内的太阳和新月日食、以及天王星这三颗星体发送强有力的支持性光线，因此你也许会在五月初许下承诺,TRUE,2022-05,摩羯座
41,木星,3,水瓶座,交流宫,在有4月30日及5月15日的两个食相的作用下，一系列的变化即将出现，与此同时，给人带来幸运的木星也将离开双鱼座（水瓶座的财帛宫），进入白羊座（水瓶座的沟通交流宫）,TRUE,2022-05,水瓶座
42,火星,5,水瓶座,爱情宫,这只是个开始罢了，因为等到8月末，火星也会为你的爱情添一把火，它将在你的爱情宫停留7个月之久,TRUE,2022-05,水瓶座
43,火星,10,处女座,荣誉宫,现在你正进入一个事业空前发展的阶段，首先感谢5月30日的新月，等8月20日火星进入你星盘第十宫声望和荣誉宫停留七个月时，还将进一步繁荣你的事业前途,TRUE,2022-06,处女座
44,新月,10,处女座,荣誉宫,现在你正进入一个事业空前发展的阶段，首先感谢5月30日的新月，等8月20日火星进入你星盘第十宫声望和荣誉宫停留七个月时，还将进一步繁荣你的事业前途,TRUE,2022-06,处女座
45,水星,2,天蝎座,财务宫,上个月水星在你的财务宫双子座逆行，所以你可能为账单还款失败感到苦恼或者发现银行对账单有差错,TRUE,2022-06,天蝎座
46,木星,4,摩羯座,家宅宫,到了5月底，木星和火星将在你的家宅宫白羊座内构成决定性的合相，与新月发生在同一时间,TRUE,2022-06,摩羯座
47,火星,9,狮子座,旅行宫,8月20日之后，当职业发展平静下来之后你可能会离开，但8月底时，将不再像现在这样有火星在旅行宫中帮你,TRUE,2022-06,狮子座
48,木星,9,狮子座,旅行宫,正如你所看到的，你目前拥有幸福和安逸（木星）以及冒险和能量（火星），两者都位于你的旅行宫，这是非常特别的,TRUE,2022-06,狮子座
49,木星,10,双子座,事业宫,木星进入这个位于你星盘最顶端的闪亮宫位的唯一方法是，从白羊座倒退到双鱼座，然后他将在11月23日（美国感恩节的前一天，帮助你记住）在这个同样崇高的事业宫顺行向前,TRUE,2022-07,双子座
50,金星,10,天秤座,事业宫,然后在7月17日这天，金星将迁移至巨蟹座，将在你这个代表声望的事业宫一直待到8月11日,TRUE,2022-07,天秤座
51,火星,8,天秤座,他人钱财宫,7月5日-8月20日，火星即将迁移至金牛座，这将把你的注意力吸引到由第八宫他人钱财宫所掌管的财务管理相关事宜上,TRUE,2022-07,天秤座
52,新月,10,天蝎座,事业宫,就像一开始说的，本月最重要的时刻就来自于7月28日狮子座6度的新月，点亮了你的事业宫,TRUE,2022-07,天蝎座
